model_name,avg_accuracy,accuracy_set,train_time,L1,L2,train_sizes,test_sizes,max-iter,k
POSLess_reg_k_3.crf,0.9482,"[0.9484671029968997, 0.9452270289595995, 0.9508885056609433]",5.48[m],0.1,0.001,1180,589,50,3
POSLess_l2_zero_k_3.crf,0.9472,"[0.9425768287404415, 0.9498593175095592, 0.9492702281422701]",5.21[m],0.1,0,1180,589,50,3
linearCRF_l2_zero_k_3.crf,0.9468,"[0.9477254294772542, 0.94454583742805, 0.9481750784145994]",5.8[m],0.1,0,1180,589,50,3
POSLess_l1_zero_k_3.crf,0.9442,"[0.9444729699992664, 0.9425222822654221, 0.9456825510569689]",5.17[m],0,0.001,1180,589,50,3
linearCRF_reg_k_3.crf,0.944,"[0.9438868947329866, 0.93942739383234, 0.9486951161038427]",5.72[m],0.1,0.001,1180,589,50,3
linearCRF_noreg_k_3.crf,0.9424,"[0.9416745747864808, 0.9391901458303837, 0.9464030830716529]",5.53[m],0,0,1180,589,50,3
linearCRF_l1_zero_k_3.crf,0.941,"[0.9397318278052224, 0.9373004354136429, 0.9460646647944121]",5.69[m],0,0.001,1180,589,50,3
POSLess_noreg_k_3.crf,0.9407,"[0.9457980358347702, 0.9347540303051269, 0.9414026343894625]",5.49[m],0,0,1180,589,50,3
HMMLike_l2_zero_k_3.crf,0.88,"[0.8787007155886067, 0.8760289525972182, 0.8854050848713958]",5.83[m],0.1,0,1180,589,50,3
HMMLike_reg_k_3.crf,0.876,"[0.8781476739223218, 0.8811431045680883, 0.8688406838097974]",6.04[m],0.1,0.001,1180,589,50,3
HMMLike_baseline_k_3.crf,0.871,"[0.8686000716075905, 0.8660046056419114, 0.8782913566113337]",5.68[m],0,0,1180,589,50,3
HMMLike_l1_zero_k_3.crf,0.8707,"[0.870890658942795, 0.8842046872833171, 0.8570378537302462]",5.48[m],0,0.001,1180,589,50,3
