model_name,accuracy,L1,L2,train-size,test-size,time,iterations,dataset-train,evaluation,k,description,dataset-test,test-split
linearCRF_featured_50_0.1_0.001_k_10.crfsuite,0.9509,0.1,0.001,1608,178,42.91[m],50,corpus_otomi_mod+corpus_hard,k_fold,10,CRFs con parametros de regularización L1+L2. Kfold K=10 y maximo de iteraciones en 50. Todas las features functions activas.,N/A,N/A
linearCRF_l1_zero_50_0_0.001_k_10.crfsuite,0.948,0,0.001,1608,178,41.03[m],50,corpus_otomi_mod+corpus_hard,k_fold,10,CRFs con parametros de regularización L1+L2. Kfold K=10 y maximo de iteraciones en 50. Todas las features functions activas.,N/A,N/A
linearCRF_l2_zero_50_0.1_0_k_10.crfsuite,0.9516,0.1,0,1608,178,41.86[m],50,corpus_otomi_mod+corpus_hard,k_fold,10,CRFs sin L2. Kfold K=10 y maximo de iteraciones en 50. Todas las features functions activas.,N/A,N/A
linearCRF_l1_l2_zero_50_0_0_k_10.crfsuite,0.9499,0,0,1608,178,39.46[m],50,corpus_otomi_mod+corpus_hard,k_fold,10,CRFs sin parametros de regularización L1+L2. Kfold K=10 y maximo de iteraciones en 50. Todas las features functions activas.,N/A,N/A
baseline_HMMLike_zero_50_0_0_k_10.crfsuite,0.8762,0,0,1608,178,40.44[m],50,corpus_otomi_mod+corpus_hard,k_fold,10,Baseline sin parametros de regularización L1-L2. K=10 y maximo de iteraciones en 50,N/A,N/A
HMMLike_regularization_50_0.1_0.001_k_10.crfsuite,0.8791,0.1,0.001,1608,178,42.98[m],50,corpus_otomi_mod+corpus_hard,k_fold,10,Simulacion HMM (features reducidas) con parametros de regularización L1+L2 y mex iteration 50.,N/A,N/A
HMMLike_l1_zero_50_0_0.001_k_10.crfsuite,0.8745,0,0.001,1608,178,43.9[m],50,corpus_otomi_mod+corpus_hard,k_fold,10,Simulacion HMM (features reducidas) l1=0 l2=0.001,N/A,N/A
HMMLike_l2_zero_50_0.1_0_k_10.crfsuite,0.8818,0.1,0,1608,178,43.71[m],50,corpus_otomi_mod+corpus_hard,k_fold,10,Simulacion HMM (features reducidas) l1=0.1 l2=0,N/A,N/A
POS_Less_50_0.1_0.001_k_10.crfsuite,0.9499,0.1,0.001,1608,178,37.91[m],50,corpus_otomi_mod+corpus_hard,k_fold,10,Quitando etiquetas POS de las veature functions. Todos los parametros de regularizacion,N/A,N/A
POS_Less_l1_l2_zero_50_0_0_k_10.crfsuite,0.9452,0,0,1608,178,36.67[m],50,corpus_otomi_mod+corpus_hard,k_fold,10,Quitando etiquetas POS de las veature functions. Sin los parametros de regularizacion,N/A,N/A
POS_Less_l1_zero_50_0_0.001_k_10.crfsuite,0.9473,0,0.001,1608,178,40.25[m],50,corpus_otomi_mod+corpus_hard,k_fold,10,Quitando etiquetas POS de las feature functions. Parametros de regularizacion reducidos (L1 = 0),N/A,N/A
